id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,304,"64-letnia otyła kobieta z łuszczycą zgłasza bóle kurczowe brzucha, wodnistą biegunkę i ubytek masy ciała w ciągu ostatnich trzech miesięcy od wystąpienia dolegliwości (ok. 6 kg). Dotychczas nie leczyła się z powodu chorób przewlekłych. W badaniu przedmiotowym - zaznaczona wzmożona perystaltyka jelit. W rutynowych badaniach laboratoryjnych bez odchyleń od normy. Kolonoskopia - makroskopowo obraz jelita grubego oraz końcowego odcinka jelita krętego bez zmian. W wycinkach pobranych z prawej połowy jelita grubego stwierdzono jedynie niedużego stopnia naciek z limfocytów i plazmocytów w blaszce właściwej błony śluzowej. Najbardziej prawdopodobnym rozpoznaniem jest:",D,przewlekłe zapalenie trzustki.,choroba trzewna.,zespół jelita drażliwego.,mikroskopowe zapalenie jelita grubego.,zakażenie Campylobacter jejuni.,choroby_wewnętrzne,,gastroenterologia,,
,305,Szmer skurczowy o charakterze „crescendo-decrescendo” promieniujący do tętnic szyjnych i obojczyków jest charakterystyczny dla:,D,stenozy zastawki mitralnej.,niedomykalności zastawki mitralnej.,niedomykalności zastawki aortalnej. 2 3,stenozy zastawki aortalnej.,niedomykalności zastawki trójdzielnej.,choroby_wewnętrzne,,kardiologia,,
,306,"Badania przesiewowe mają naukowe uzasadnienie w praktyce dla wykrywania:
1) raka piersi;
2) raka gruczołu krokowego;
3) raka szyjki macicy;
4) raka płuca;
5) raka jelita grubego;
6) czerniaka.
Prawidłowa odpowiedź to:",A,"1,3,5.","1,2,3,5.","1,3,4,5.","1,2,3,4,5.","1,3,5,6.",choroby_wewnętrzne,,onkologia,,
,307,Do najczęściej występujących uchyłków w jelicie grubym należą:,A,uchyłki nabyte zlokalizowane w esicy.,uchyłki wrodzone zlokalizowane w kątnicy.,uchyłki wrodzone zlokalizowane w esicy.,uchyłki wrodzone zlokalizowane w poprzecznicy.,uchyłki nabyte zlokalizowane w kątnicy.,choroby_wewnętrzne,,gastroenterologia,,
,308,Co nie jest typowe dla podostrego zapalenia tarczycy typu deQuervain?,B,przejściowe obniżenie stężenia TSH.,dobra odpowiedź na leczenie antybiotykami.,obecność wielojądrowych komórek olbrzymich w obrazie cytologicznym.,wysokie stężenie CRP.,nasilona bolesność szyi.,choroby_wewnętrzne,,endokrynologia,zapalenie tarczycy,
,309,"Bezobjawowy bakteriomocz należy leczyć:
1) u osób z cewnikiem na stałe;
2) u osób z pęcherzem neurogennym;
3) u kobiet w ciąży;
4) przed zabiegiem urologicznym, w którym przerywana jest ciągłość błony śluzowej dróg moczowych;
5) u biorców nerki przeszczepionej w każdym okresie po transplantacji.
Prawidłowa odpowiedź to:",D,"2,3,4.","1,3,4.","1,2,4.","3,4.","3,4,5.",choroby_wewnętrzne,,nefrologia,,
,310,Stwierdzenie w spirometrii zmniejszenia pojemności życiowej płuc (VC) poniżej dolnej granicy normy przy prawidłowej lub zwiększonej wartości wskaźnika FEV /VC może sugerować występowanie restrykcji. W celu wyjaśnienia przyczyny zmniejszenia VC wskazane jest wykonanie:,E,próby wysiłkowej.,próby rozkurczowej.,oscylometrii impulsowej.,pomiaru zdolności dyfuzyjnej płuc.,bodypletyzmografii.,choroby_wewnętrzne,,pulmonologia,,
,311,W celu potwierdzenia reumatoidalnego zapalenia stawów należy wykonać oznaczenie: 1 max A. przeciwciał przeciwjądrowych.,B,przeciwciał przeciw cyklicznemu cytrulinowanemu peptydowi.,przeciwciał przeciwmitochondrialnych.,przeciwciał przeciwko cytoplazmie granulocytów obojętnochłonnych.,stężenia kwasu moczowego w surowicy krwi.,,choroby_wewnętrzne,,reumatologia,,
,312,Autoimmunologiczne zapalenie trzustki może cechować się zwiększonym stężeniem:,D,IgG1.,IgG2.,IgG3.,IgG4.,IgG5.,choroby_wewnętrzne,,gastroenterologia,,
,313,"Wskaż choroby mogące być przyczyną nagromadzenia płynu w opłucnej, charakteryzującego się obniżonym pH (< 7,3):
1) zastoinowa niewydolność serca;
2) powikłany wysięk parapneumoniczny;
3) zespół nerczycowy;
4) nowotworowy wysięk w opłucnej;
5) gruźliczy wysięk w opłucnej.
Prawidłowa odpowiedź to:",D,"1,2,5.","2,3,4.","3,5.","2,4,5.","1,2,4.",choroby_wewnętrzne,,nefrologia,,
,314,52-letnia chora zgłasza się do lekarza z powodu silnych i bolesnych skurczów dłoni występujących od dwóch tygodni. Miesiąc temu u chorej usunięto operacyjnie tarczycę z powodu wola zamostkowego. Najbardziej prawdopodobną przyczyną tych objawów jest:,D,niedoczynność tarczycy.,nadczynność przytarczyc.,nadczynność tarczycy.,niedoczynność przytarczyc.,hiperkalcemia.,choroby_wewnętrzne,,endokrynologia,,
,315,"Wystąpienie gorączki u chorej na raka piersi, która przed tygodniem otrzymała kolejny cykl uzupełniającej chemioterapii pooperacyjnej:",A,może być związane z neutropenią polekową.,jest w każdym przypadku wskazaniem do zastosowania leku z grupy czynników wzrostu kolonii granulocytów.,jest zawsze wskazaniem do stosowania leków przeciwgrzybicznych od początku leczenia.,prawdziwe są odpowiedzi A i B.,"prawdziwe są odpowiedzi A, B i C.",choroby_wewnętrzne,,onkologia,rak piersi,
,316,Alfa-fetoproteina jest wskaźnikiem laboratoryjnym:,D,guza stromalnego przewodu pokarmowego (GIST).,raka płodowego nerek.,mięsaka żołądka.,raka wątrobowokomórkowego.,wyspiaka trzustki.,choroby_wewnętrzne,,onkologia,,
,317,Do kryteriów rozpoznania polimialgii reumatycznej nie należy:,B,OB > 40 mm/godz.,symetryczny obrzęk i ból drobnych stawów rąk.,ból obejmujący obręcz barkową i/lub biodrową.,wiek > 50 lat.,"szybka reakcja na leczenie prednizonem w dawce 12,5-25 mg/dz.",choroby_wewnętrzne,,reumatologia,,
,318,"Dla zespołu hemolityczno-mocznicowego charakterystyczne są:
1) małopłytkowość;
2) podwyższone stężenie kreatyniny w surowicy;
3) nadpłytkowość;
4) niedokrwistość;
5) obecność schistocytów we krwi obwodowej;
6) obecność limfoblastów we krwi obwodowej.
Prawidłowa odpowiedź to:",B,"1,2,4,6.","1,2,4,5.","2,3,4,5.","3,4,5,6.","2,3,5,6.",choroby_wewnętrzne,,hematologia,,
,319,"Jakich powikłań kardiologicznych można oczekiwać w przebiegu nadczynności tarczycy?
1) zaburzeń rytmu serca;
2) zaostrzenia niewydolności krążenia;
3) zaostrzenia choroby wieńcowej;
4) zapalenia mięśnia sercowego;
5) bloków przedsionkowo-komorowych.
Prawidłowa odpowiedź to:",A,"1,2,3.","2,3,4.","3,4,5.",tylko 1.,wszystkie wymienione.,choroby_wewnętrzne,,endokrynologia,,
,320,"Badanie spirometryczne pozwala na pomiar następujących parametrów:
1) pojemność życiowa;
2) całkowita pojemność płuc;
3) natężona objętość wydechowa pierwszosekundowa;
4) pojemność wdechowa;
5) objętość zalegająca.
Prawidłowa odpowiedź to:",C,wszystkie wymienione.,"1,2,5.","1,3,4.","1,3,5.","2,4,5.",choroby_wewnętrzne,,pulmonologia,,
,321,Wskaż nieprawdziwą informację na temat cukrzycowej choroby nerek:,D,jest najczęstszą przyczyną schyłkowej niewydolności nerek.,"za jej rozwój odpowiadają zmiany hemodynamiczne i metaboliczne, które prowadzą do szkliwienia kłębuszków i włóknienia tkanki śródmiąższowej.",pojawienie się albuminurii powyżej 30 mg/dobę jest pierwszym klinicznym objawem cukrzycowej choroby nerek.,krwinkomocz dysmorficzny i wałeczki erytrocytarne wskazują na zaawansowanie cukrzycowej choroby nerek odpowiadające stadium 4. przewlekłej choroby nerek.,do czynników przyśpieszających postęp choroby należy aktywacja układu reninaangiotensyna-aldosteron.,choroby_wewnętrzne,,nefrologia,,
,322,Detemir należy do leków hipoglikemizujących z grupy:,D,analogów insulin szybko działających.,insulin krótko działających.,agonistów receptora peptydu glukagonopodobnego 1 (GLP-1).,analogów insulin długo działających.,flozyn.,choroby_wewnętrzne,,endokrynologia,cukrzyca,
,323,"Do charakterystycznych objawów klinicznych towarzyszących tamponadzie serca należą:
1) nadmierne wypełnienie żył szyjnych zewnętrznych;
2) wysokie wartości ciśnienia tętniczego;
3) hipotensja;
4) stłumienie tonów serca;
5) bradykardia;
6) tachykardia.
Prawidłowa odpowiedź to:",C,"1,2,5.","1,2,6.","1,3,4.","1,2,4.","1,4,5.",choroby_wewnętrzne,,kardiologia,tamponada serca,
,324,"Płyn przesiękowy, charakteryzujący się niską zawartością białka i małą aktywnością dehydrogenazy mleczanowej (LDH) może gromadzić się w jamie opłucnej w przebiegu:
1) zapalenia płuc;
2) niewydolności serca;
3) marskości wątroby;
4) nowotworów;
5) chorób układu pokarmowego.
Prawidłowa odpowiedź to:",D,"1,4.","2,5.","3,5.","2,3.","4,5.",choroby_wewnętrzne,,"pulmonologia, kardiologia, gastroenterologia, onkologia",,
,325,"27-letnia, wyglądająca na ładnie opaloną kobieta zjawia się w lutym u lekarza skarżąc się na osłabienie, nudności, zawroty głowy i mroczki przed oczami, zwłaszcza po wstaniu z łóżka lub z krzesła w pracy. Pacjentka schudła około 4 kg. W maju wychodzi za mąż i planuje ciążę. W badaniu klinicznym ciśnienie tętnicze 105/60 mmHg, tętno około 90/minutę, stężenie TSH 7,85 µIU/ml (norma 0,27-4,2). Wskaż właściwe postępowanie kliniczne:",C,w związku z planowaną ciążą należy włączyć L-tyroksynę przynajmniej w dawce 50 µg/dobę.,"w związku z faktem, że wolne hormony tarczycy obniżają się dopiero przy stężeniach TSH>10 µIU/ml, należy powtórzyć oznaczenie TSH, fT4 oraz przeciwciał przeciwko peroksydazie tarczycowej (anty-TPO) za 3-4 miesiące.","należy pilnie oznaczyć poranne stężenie kortyzolu, elektrolity oraz przeciwciała antyTPO.","należy wykonać badanie usg tarczycy i natychmiast włączyć L-tyroksynę w dawce 25-50 µg na dobę, jeśli hipoechogeniczny i niejednorodny obraz tarczycy w badaniu usg przypomina obraz obserwowany w przewlekłym zapaleniu tarczycy.",w związku z podwyższonym stężeniem TSH i przyspieszonym tętnem należy włączyć Thyrozol oraz beta-bloker.,choroby_wewnętrzne,,kardiologia,,
,326,"Które z wymienionych leków mogą spowodować hiperkalcemię?
1) kalcymimetyki;
2) tiazydy;
3) lit;
4) antagoniści receptora wapniowego;
5) witamina D.
Prawidłowa odpowiedź to:",D,"1,2,3.","1,3,5.","2,3,4.","2,3,5.","3,4,5.",choroby_wewnętrzne,,nefrologia,,
,327,Hemolityczne podłoże niedokrwistości podejrzewa się w przypadku stwierdzenia:,B,prawidłowego kształtu i czasu przeżycia krwinek czerwonych.,bezwzględnej liczby retikulocytów > 150 000/µl.,uszkodzenia wątroby z podwyższonym stężeniem haptoglobiny i prawidłowym stężeniem bilirubiny.,prawdziwe są odpowiedzi A i B.,prawdziwe są odpowiedzi B i C.,choroby_wewnętrzne,,hematologia,,
,328,"Wskaż najbardziej prawdopodobne rozpoznanie u chorego z gorączką, wysypką skórną, owrzodzeniami nosa z ropną wydzieliną, zajęciem zatok, stawów, dusznością, kaszlem z odpluwaniem krwistej plwociny, białkomoczem i mikroskopowym krwiomoczem:",C,nefropatia błoniasta.,choroba wywołana przeciwciałami anty GBM (zespół Goodpasture).,ziarniniakowatość z zapaleniem naczyń (GPA Wegenera).,postreptokokowe kłębuszkowe zapalenie nerek.,nefropatia IgA.,choroby_wewnętrzne,,nefrologia,,
,329,Wskaż najbardziej charakterystyczną nieprawidłowość u chorych na szpiczaka plazmocytowego:,D,uogólnione powiększenie węzłów chłonnych.,powiększenie wątroby.,powiększenie śledziony.,zmiany osteolityczne w kościach.,naciek plazmocytów w nerkach.,choroby_wewnętrzne,,hematologia,szpiczak mnogi,
,330,Przeciwciała przeciwjądrowe swoiście reagujące z antygenem Scl-70 występują u chorych na:,E,toczeń rumieniowaty układowy.,spondyloartropatię seronegatywną.,pseudodnę wywołaną pirofosforanami wapnia.,reumatoidalne zapalenie stawów.,twardzinę układową.,choroby_wewnętrzne,,reumatologia,,
,331,"67-letnia kobieta z napadowym migotaniem przedsionków, nadciśnieniem tętniczym i cukrzycą typu 2 (CHA DS -VASc score
4) w ramach prewencji udaru niedokrwiennego mózgu wymaga leczenia:",D,tylko kwasem acetylosalicylowym.,tylko klopidogrelem.,kwasem acetylosalicylowym i klopidogrelem.,"doustnym antykoagulantem niebędącym antagonistą witaminy K (dabigatran, rywaroksaban) lub antagonistą witaminy K (acenokumarol, warfaryna).",nie wymaga leczenia.,choroby_wewnętrzne,,kardiologia,,
,332,"U 78-letniej pacjentki stwierdzono w badaniu densytometrycznym T-score -2,8 a ponadto stężenie wapnia 13,0 mg/ml (norma 8,5-10,5). Pacjentka wymaga dalszej diagnostyki w kierunku:",D,pierwotnej nadczynności przytarczyc.,wtórnej nadczynności przytarczyc. 2 2,obecności zmian nowotworowych w układzie kostnym.,prawdziwe są odpowiedzi A i C.,prawdziwe są odpowiedzi B i C.,choroby_wewnętrzne,,endokrynologia,,
,333,Która z wymienionych chorób najczęściej towarzyszy pierwotnemu stwardniającemu zapaleniu dróg żółciowych (PSC)?,B,choroba Hashimoto.,wrzodziejące zapalenie jelita grubego.,zespół Sjögrena.,choroba Leśniowskiego-Crohna.,łuszczyca.,choroby_wewnętrzne,,gastroenterologia,,
,334,"U pacjenta z eGFR 40 ml/min/1,73 m przed wykonaniem tomografii komputerowej klatki piersiowej z kontrastem należy zastosować:",D,furosemid 120 mg iv.,heparynę drobnocząsteczkową - 40 mg sc.,heparynę niefrakcjonowaną - 5000 j iv.,"0,9% NaCl dożylnie.",ramipryl w dawce 10 mg doustnie.,choroby_wewnętrzne,,nefrologia,,
,335,Wskaż prawdziwe stwierdzenie dotyczące zaburzeń laboratoryjnych w zespole Gilberta:,E,"aktywność transaminaz jest tylko nieznacznie zwiększona a stężenie bilirubiny podwyższone, z przewagą bilirubiny sprzężonej z kwasem glukuronowym (bilirubina bezpośrednia).","aktywność transaminaz jest
Prawidłowa, a stężenie bilirubiny może przekraczać 6 mg/dl.","aktywność transaminaz jest znacznie zwiększona a stężenie bilirubiny umiarkowanie 2 podwyższone, z przewagą bilirubiny niesprzężonej z kwasem glukuronowym (bilirubina pośrednia).","rozpoznanie opiera się na stwierdzeniu zwiększonego stężenia bilirubiny, trombocytopenii i podwyższonej aktywności fosfatazy zasadowej (prawidłowa aktywność GGTP).","aktywność transaminaz jest
Prawidłowa a stężenie bilirubiny podwyższone, lecz nie przekraczające 5 mg/dl.",choroby_wewnętrzne,,gastroenterologia,,
,336,Inhibitory konwertazy angiotensyny i blokery receptora AT1 angiotensyny II:,D,stosowane są jako leki nefroprotekcyjne.,upośledzają mechanizmy autoregulacji w nerce.,mogą wywoływać przednerkowe ostre uszkodzenie nerek.,"prawdziwe są odpowiedzi A,B,C.",prawdziwe są odpowiedzi A i B.,choroby_wewnętrzne,,kardiologia,,
,337,Wskaż możliwą przyczynę utrzymywania się niskiego ciężaru właściwego moczu podczas prawidłowo przeprowadzanego testu odwodnieniowego:,D,moczówka prosta centralna.,moczówka prosta nerkowa.,polidypsja psychogenna.,prawdziwe są odpowiedzi A i B.,prawdziwe są odpowiedzi A i C.,choroby_wewnętrzne,,"położnictwo_i_ginekologia, nefrologia",,
,338,"Karta ryzyka SCORE, stosowana w Polsce w ocenie 10-letniego ryzyka zgonu z przyczyn sercowo-naczyniowych, uwzględnia wpływ:
1) stężenia triglicerydów;
2) stężenia cholesterolu HDL;
3) stężenia glukozy;
4) stężenia cholesterolu całkowitego;
5) stężenia cholesterolu LDL.
Prawidłowa odpowiedź to:",D,"4,5.","1,2,4.","3,4,5.",tylko 4.,tylko 5.,choroby_wewnętrzne,,kardiologia,,
,339,Przyczyną niedokrwistości u chorych na zespoły mielodysplastyczne jest:,D,niedobór żelaza.,niedobór witaminy B .,niedobór kwasu foliowego.,nieefektywna erytropoeza.,zwiększony rozpad krwinek czerwonych (hemoliza) we krwi obwodowej.,choroby_wewnętrzne,,hematologia,,
,340,U 68-letniego pacjenta po zawale mięśnia sercowego stwierdzono stężenie cholesterolu LDL 160 mg/dl. U chorego tego należy zastosować statynę w celu obniżenia stężenia cholesterolu LDL poniżej:,B,35 mg/dl.,70 mg/dl.,115 mg/dl.,135 mg/dl.,150 md/dl.,choroby_wewnętrzne,,kardiologia,,
,341,Przyczyną hipourykemii nie jest:,D,SIADH. 12,kwasica cewkowa typu II.,ciąża.,niewydolność nerek.,stosowanie allopurynolu.,choroby_wewnętrzne,,endokrynologia,,
,342,"79-letnia kobieta została przyjęta do szpitala z objawami ostrego uszkodzenia nerek z oligurią oraz silnymi bólami mięśni. Które z zażywanych przez chorą leków powinny być pilnie odstawione?
1) lisinopril 40 mg/dobę;
2) simwastatyna 40 mg/dobę;
3) metoprolol 50 mg/dobę;
4) amlodypina 10 mg/dobę;
5) telmisartan 80 mg/dobę.
Prawidłowa odpowiedź to:",C,"1,2,3.","1,2,4.","1,2,5.","1,3,4.","1,3,5.",choroby_wewnętrzne,,nefrologia,,
,343,"Do charakterystycznych cech choroby Leśniowskiego-Crohna spośród wymienionych poniżej należą:
1) obecność w surowicy przeciwciał przeciwko Saccharomyces cerevisiae (ASCA);
2) toksyczne rozdęcie okrężnicy (megacolon toxicum);
3) obecność przetok;
4) obecność polipów rzekomych;
5) zmiany okołoodbytowe.
Prawidłowa odpowiedź to:",B,"1,3,4.","1,3,5.","1,4,5.","2,3,5.","2,4,5.",choroby_wewnętrzne,,gastroenterologia,,
,344,Który z wymienionych czynników nie predysponuje do postępującej utraty funkcji nerek?,C,niska urodzeniowa masa ciała.,nadciśnienie tętnicze.,hamowanie układu renina-angiotensyna-aldosteron.,otyłość.,palenie tytoniu.,choroby_wewnętrzne,,nefrologia,,
,345,"U pacjentów z podejrzeniem zatorowości płucnej, celem oceny prawdopodobieństwa klinicznego jej występowania, zastosowanie znajdują następujące skale:
1) EHRA;
2) PESI;
3) TIMI;
4) Wellsa;
5) zmodyfikowana skala genewska.
Prawidłowa odpowiedź to:",E,"1,2.","1,2,3.","2,4.",tylko 4.,"4,5.",choroby_wewnętrzne,,pulmonologia,,
,346,"Wynik badania morfologii krwi: WBC 4,1 G/L, LY 0,91 G/L, MO 0,18 G/L, NE 2,81 G/L, RBC 2,16 T/L, HGB 8,6 g/dL, MCV 119,0 fL, PLT 182 G/L sugeruje rozpoznanie:",B,niedokrwistości z niedoboru żelaza.,niedokrwistości z niedoboru witaminy B .,niedokrwistości aplastycznej.,czerwienicy prawdziwej.,talasemii.,choroby_wewnętrzne,,hematologia,,
,347,CRAB to akronim określający:,B,protokół chemioterapii białaczki szpikowej.,objawy szpiczaka plazmocytowego.,raka krwi.,objawy białaczki limfocytowej.,rodzaj licznika komórek.,choroby_wewnętrzne,,hematologia,,
,348,Najczęstszą nabytą wadą zastawkową u osób dorosłych jest:,E,zwężenie zastawki mitralnej.,niedomykalność zastawki aortalnej.,niedomykalność zastawki mitralnej.,zwężenie zastawki trójdzielnej.,zwężenie zastawki aortalnej.,choroby_wewnętrzne,,kardiologia,,
,349,"Wskaż leki pierwszego wyboru w leczeniu niepowikłanego ostrego zapalenia pęcherza moczowego:
1) cyprofloksacyna;
2) fosfomycyna;
3) kotrimoksazol (trimetoprim + sulfametoksazol);
4) amoksycylina + kwas klawulanowy;
5) nitrofurantoina.
Prawidłowa odpowiedź to: 12",B,"1,3,5.","2,3,5.","1,2,3,5.","1,2,4.","3,4,5.",choroby_wewnętrzne,,nefrologia,,
